Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	
Comments:	
Date:	7/1/20 5:31 AM
Duration:	00:26:17'67
Activities:	Other
Max HR:	104
Average HR:	79
Calories:	93
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1593595937160	2020-07-01 05:32:17.160	00:01:06	97	OK
1593595937654	2020-07-01 05:32:17.654	00:01:07	97	OK
1593595938386	2020-07-01 05:32:18.386	00:01:07	98	OK
1593595938874	2020-07-01 05:32:18.874	00:01:08	99	OK
1593595939366	2020-07-01 05:32:19.366	00:01:09	99	OK
1593595939867	2020-07-01 05:32:19.867	00:01:09	100	OK
1593595940608	2020-07-01 05:32:20.608	00:01:10	101	OK
1593595941099	2020-07-01 05:32:21.099	00:01:11	102	OK
1593595941599	2020-07-01 05:32:21.599	00:01:11	102	OK
1593595942326	2020-07-01 05:32:22.326	00:01:12	103	OK
1593595942823	2020-07-01 05:32:22.823	00:01:12	104	OK
1593595943313	2020-07-01 05:32:23.313	00:01:13	104	OK
1593595944054	2020-07-01 05:32:24.054	00:01:14	103	OK
1593595944550	2020-07-01 05:32:24.550	00:01:14	103	OK
1593595945039	2020-07-01 05:32:25.039	00:01:15	102	OK
1593595945777	2020-07-01 05:32:25.777	00:01:16	102	OK
1593595946518	2020-07-01 05:32:26.518	00:01:17	102	OK
1593595947256	2020-07-01 05:32:27.256	00:01:17	102	OK
1593595947748	2020-07-01 05:32:27.748	00:01:18	99	OK
1593595948488	2020-07-01 05:32:28.488	00:01:19	98	OK
1593595949225	2020-07-01 05:32:29.225	00:01:19	96	OK
1593595949965	2020-07-01 05:32:29.965	00:01:20	95	OK
1593595950704	2020-07-01 05:32:30.704	00:01:20	95	OK
1593595951443	2020-07-01 05:32:31.443	00:01:21	93	OK
1593595952428	2020-07-01 05:32:32.428	00:01:22	93	OK
1593595953166	2020-07-01 05:32:33.166	00:01:22	93	OK
1593595953903	2020-07-01 05:32:33.903	00:01:23	91	OK
1593595954644	2020-07-01 05:32:34.644	00:01:24	90	OK
1593595955383	2020-07-01 05:32:35.383	00:01:24	88	OK
1593595956121	2020-07-01 05:32:36.121	00:01:25	87	OK
1593595956861	2020-07-01 05:32:36.861	00:01:25	86	OK
1593595957598	2020-07-01 05:32:37.598	00:01:26	85	OK
1593595958329	2020-07-01 05:32:38.329	00:01:27	84	OK
1593595959076	2020-07-01 05:32:39.076	00:01:27	84	OK
1593595959816	2020-07-01 05:32:39.816	00:01:28	83	OK
1593595960554	2020-07-01 05:32:40.554	00:01:28	82	OK
1593595961299	2020-07-01 05:32:41.299	00:01:29	82	OK
1593595962027	2020-07-01 05:32:42.027	00:01:30	82	OK
1593595963016	2020-07-01 05:32:43.016	00:01:30	81	OK
1593595963755	2020-07-01 05:32:43.755	00:01:31	81	OK
1593595964494	2020-07-01 05:32:44.494	00:01:32	80	OK
1593595965235	2020-07-01 05:32:45.235	00:01:32	80	OK
1593595965971	2020-07-01 05:32:45.971	00:01:33	80	OK
1593595966703	2020-07-01 05:32:46.703	00:01:33	80	OK
1593595967450	2020-07-01 05:32:47.450	00:01:34	80	OK
1593595968189	2020-07-01 05:32:48.189	00:01:35	80	OK
1593595968929	2020-07-01 05:32:48.929	00:01:36	80	OK
1593595969666	2020-07-01 05:32:49.666	00:01:36	80	OK
1593595970406	2020-07-01 05:32:50.406	00:01:37	80	OK
1593595971146	2020-07-01 05:32:51.146	00:01:38	80	OK
1593595972129	2020-07-01 05:32:52.129	00:01:38	79	OK
1593595972867	2020-07-01 05:32:52.867	00:01:39	79	OK
1593595973608	2020-07-01 05:32:53.608	00:01:40	79	OK
1593595974341	2020-07-01 05:32:54.341	00:01:40	79	OK
1593595975086	2020-07-01 05:32:55.086	00:01:41	78	OK
1593595976078	2020-07-01 05:32:56.078	00:01:42	77	OK
1593595976807	2020-07-01 05:32:56.807	00:01:42	77	OK
1593595977549	2020-07-01 05:32:57.549	00:01:43	77	OK
1593595978292	2020-07-01 05:32:58.292	00:01:43	77	OK
1593595979026	2020-07-01 05:32:59.026	00:01:44	76	OK
1593595980011	2020-07-01 05:33:00.011	00:01:45	75	OK
1593595980748	2020-07-01 05:33:00.748	00:01:46	75	OK
1593595981487	2020-07-01 05:33:01.487	00:01:46	75	OK
1593595982478	2020-07-01 05:33:02.478	00:01:47	75	OK
1593595983210	2020-07-01 05:33:03.210	00:01:48	75	OK
1593595984196	2020-07-01 05:33:04.196	00:01:49	75	OK
1593595984941	2020-07-01 05:33:04.941	00:01:50	75	OK
1593595985673	2020-07-01 05:33:05.673	00:01:51	75	OK
1593595986413	2020-07-01 05:33:06.413	00:01:51	75	OK
1593595987150	2020-07-01 05:33:07.150	00:01:52	75	OK
1593595988138	2020-07-01 05:33:08.138	00:01:53	75	OK
1593595988881	2020-07-01 05:33:08.881	00:01:54	75	OK
1593595989613	2020-07-01 05:33:09.613	00:01:55	75	OK
1593595990345	2020-07-01 05:33:10.345	00:01:56	75	OK
1593595991329	2020-07-01 05:33:11.329	00:01:57	75	OK
1593595992076	2020-07-01 05:33:12.076	00:01:57	75	OK
1593595993062	2020-07-01 05:33:13.062	00:01:58	75	OK
1593595993805	2020-07-01 05:33:13.805	00:01:59	75	OK
1593595994538	2020-07-01 05:33:14.538	00:02:00	75	OK
1593595995524	2020-07-01 05:33:15.524	00:02:00	74	OK
1593595996265	2020-07-01 05:33:16.265	00:02:01	74	OK
1593595996998	2020-07-01 05:33:16.998	00:02:02	74	OK
